edge,min_value,max_value,jaccard_min_over_max,subject_id
C4-T3,0.5777665797042746,2.7616960640373183,0.20920715614868882,sub-NORB00065
C4-T4,2.9317092084057066,4.174901605782547,0.702222348029729,sub-NORB00065
C4-T5,0.5072708661765732,0.82261342399269,0.6166576564170937,sub-NORB00065
C4-T6,1.3529186357135399,1.497879188931445,0.9032228004173576,sub-NORB00065
C4-FZ,6.4878133715717485,10.00169833082694,0.6486711713324927,sub-NORB00065
C4-CZ,4.902925092591652,7.755338248192169,0.632200032504651,sub-NORB00065
C4-PZ,5.536326764427427,6.942819665892843,0.7974176243731456,sub-NORB00065
P3-P4,5.01376511516796,5.270419391045204,0.9513028742431169,sub-NORB00065
P3-O1,2.8171408528313937,2.9623435820068287,0.9509838325110594,sub-NORB00065
P3-O2,1.964034662884273,2.772522802169399,0.7083926095567138,sub-NORB00065
P3-F7,2.099998263147717,3.132525326600616,0.670385086854705,sub-NORB00065
P3-F8,1.6744143433697414,2.585336783340529,0.6476581133101817,sub-NORB00065
P3-T3,1.6290198234344218,4.153274364725368,0.39222542995715126,sub-NORB00065
P3-T4,1.9296386826417593,2.1676493703950594,0.8901987143290051,sub-NORB00065
P3-T5,2.3310487612368425,2.433359029357491,0.9579551283282424,sub-NORB00065
P3-T6,1.8703562655717583,2.1857336431964134,0.8557109743877814,sub-NORB00065
P3-FZ,2.8467439922605022,2.937993081072951,0.9689416937703866,sub-NORB00065
P3-CZ,3.0704559804560874,4.145471187748262,0.7406771972099747,sub-NORB00065
P3-PZ,6.326691251333685,7.1833257802208355,0.8807468079415416,sub-NORB00065
P4-O1,1.947171062072666,3.7617352588620747,0.517625757284601,sub-NORB00065
P4-O2,2.759662172495491,3.1871427357816406,0.8658734174384848,sub-NORB00065
P4-F7,1.7696135390223826,2.0340147530132198,0.8700101788351587,sub-NORB00065
P4-F8,2.2282001504346582,2.30251858905812,0.9677229799678347,sub-NORB00065
P4-T3,1.123821049141955,2.188077079785124,0.5136112706104109,sub-NORB00065
P4-T4,1.8416381287260812,2.7653007107881646,0.6659811432230017,sub-NORB00065
P4-T5,0.9479626750499703,2.4191206047678615,0.3918625111875878,sub-NORB00065
P4-T6,2.2365715915799473,3.4481683913224517,0.6486259769703911,sub-NORB00065
P4-FZ,2.391019649907471,2.53736439425324,0.9423241121073431,sub-NORB00065
P4-CZ,3.464727708992112,3.550635189249545,0.9758050389075341,sub-NORB00065
P4-PZ,5.06339023231472,7.266612165744979,0.6968020470644751,sub-NORB00065
O1-O2,2.701144573848755,4.183635633444922,0.6456452737554865,sub-NORB00065
O1-F7,0.9895670026823146,1.0376342310099327,0.9536761347196169,sub-NORB00065
O1-F8,0.5592731930206902,1.0040444706850393,0.5570203405822347,sub-NORB00065
O1-T3,1.1921242832393137,1.3589350367443127,0.8772489125715398,sub-NORB00065
O1-T4,0.8730272330163429,0.8995276428705228,0.9705396381487363,sub-NORB00065
O1-T5,2.882984121553786,2.883889882809123,0.9996859237723548,sub-NORB00065
O1-T6,1.447649382115571,2.645567745158212,0.5471980011719555,sub-NORB00065
O1-FZ,0.6955677968493068,1.2618609349295347,0.5512238136511841,sub-NORB00065
O1-CZ,0.9629804803306549,1.4571946390366128,0.6608454728925608,sub-NORB00065
O1-PZ,1.8105447411789615,2.632184683956961,0.6878486727067993,sub-NORB00065
O2-F7,0.9218973893453724,1.1181303447096236,0.8244990342201897,sub-NORB00065
O2-F8,0.8567371060432866,1.0512512276782373,0.8149689469903888,sub-NORB00065
O2-T3,0.9969620865514809,1.4114046017811,0.7063616522812666,sub-NORB00065
O2-T4,1.1855412334892725,1.2688324989472197,0.9343559803779806,sub-NORB00065
O2-T5,1.1475461810636458,2.8707289559092457,0.3997403442430474,sub-NORB00065
O2-T6,3.076756075006341,3.624081543722455,0.8489753991147971,sub-NORB00065
O2-FZ,0.7668453917053133,0.9189731936047508,0.8344589342125386,sub-NORB00065
O2-CZ,1.1391683024520882,1.2889659285516397,0.8837846503298399,sub-NORB00065
O2-PZ,2.26687881018222,2.7313193015083455,0.8299574527702995,sub-NORB00065
F7-F8,3.429502092880918,4.614960425469455,0.7431270859775689,sub-NORB00065
F7-T3,1.8581082097193078,6.136158439900712,0.3028129452520091,sub-NORB00065
F7-T4,1.1302181487216325,3.1660291870702992,0.35698285831896753,sub-NORB00065
F7-T5,0.7104801861786924,0.765369903710231,0.928283412679995,sub-NORB00065
F7-T6,0.8940313676391162,1.2223462379275347,0.7314059960252586,sub-NORB00065
F7-FZ,3.6960157875411994,5.020596681053826,0.736170623202779,sub-NORB00065
F7-CZ,2.795245024972615,3.851178233096184,0.7258155441757772,sub-NORB00065
F7-PZ,2.1134510157917603,3.020803640662858,0.6996320407399945,sub-NORB00065
F8-T3,0.6841960562586602,3.102119895670799,0.22055757974200105,sub-NORB00065
F8-T4,2.730022258645472,5.543297071334848,0.4924907006631113,sub-NORB00065
F8-T5,0.5012528676086615,0.7152385428438965,0.7008191499518529,sub-NORB00065
F8-T6,1.0762908233475896,1.415160408730772,0.7605433396153956,sub-NORB00065
F8-FZ,4.061242330692766,6.585990829711352,0.6166486464529074,sub-NORB00065
F8-CZ,3.264356319874018,5.100056423279413,0.6400627853789485,sub-NORB00065
F8-PZ,2.4448755479129605,3.7912638674556307,0.6448708487161433,sub-NORB00065
T3-T4,0.6473371281258528,1.4254612514541134,0.45412467540980433,sub-NORB00065
T3-T5,1.8712665410204778,1.883333781593168,0.9935926171501674,sub-NORB00065
T3-T6,0.8852869148189567,1.25650746820127,0.7045616020780782,sub-NORB00065
T3-FZ,0.673581656397684,3.2295613013344115,0.20856754015456186,sub-NORB00065
T3-CZ,0.7514464230089317,3.5306646550687697,0.21283426675204734,sub-NORB00065
T3-PZ,1.0056668727271676,2.9050600850389694,0.34617764978643367,sub-NORB00065
T4-T5,0.7168956117588217,1.3781068297036778,0.5202032210470718,sub-NORB00065
T4-T6,2.177436998710321,2.5173094946108323,0.864985812579611,sub-NORB00065
T4-FZ,1.265166320092633,3.3717851554541816,0.375221510791133,sub-NORB00065
T4-CZ,1.5301601136943808,3.7294091237723324,0.41029558917006387,sub-NORB00065
T4-PZ,2.0700243201213366,3.7286512982424838,0.5551670442063198,sub-NORB00065
