subject_id,session_left,session_right,edge,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-1,ses-2,C4-PZ,5.916281905490688,6.262077268333732,0.9447794480927802
sub-NORB00064,ses-1,ses-2,P3-P4,5.204684524202136,5.272933932775214,0.9870566539533415
sub-NORB00064,ses-1,ses-2,P3-O1,3.440748297494901,3.106995762074043,0.9030000143678477
sub-NORB00064,ses-1,ses-2,P3-O2,1.3052534635102737,3.813604365388373,0.3422624211773337
sub-NORB00064,ses-1,ses-2,P3-F7,1.856500311019082,3.54212858182549,0.5241199657586417
sub-NORB00064,ses-1,ses-2,P3-F8,1.8294599957340825,3.333673073355597,0.548782065750854
sub-NORB00064,ses-1,ses-2,P3-T3,2.1614844389878742,2.9034831003368313,0.7444453314493622
sub-NORB00064,ses-1,ses-2,P3-T4,0.9830178021597303,3.9073071810195144,0.2515844689495942
sub-NORB00064,ses-1,ses-2,P3-T5,2.767713064273368,3.9228656633291217,0.7055334803192218
sub-NORB00064,ses-1,ses-2,P3-T6,2.6127269733965908,2.777265505628562,0.9407552025909989
sub-NORB00064,ses-1,ses-2,P3-FZ,2.617757262655783,3.484292920083692,0.751302293663905
sub-NORB00064,ses-1,ses-2,P3-CZ,3.636463086210722,3.0510649319341705,0.8390199101714105
sub-NORB00064,ses-1,ses-2,P3-PZ,6.757693643407991,7.11630133045499,0.9496075741604282
sub-NORB00064,ses-1,ses-2,P4-O1,3.522262057286616,2.381541088917234,0.6761396654148614
sub-NORB00064,ses-1,ses-2,P4-O2,2.193664289735797,3.669291866902443,0.597844044384415
sub-NORB00064,ses-1,ses-2,P4-F7,1.1407854507495214,3.386354314044855,0.3368771678787806
sub-NORB00064,ses-1,ses-2,P4-F8,2.034435989878909,4.4212700467794015,0.4601474165462612
sub-NORB00064,ses-1,ses-2,P4-T3,1.138582032523505,1.7757655719469425,0.6411781208682675
sub-NORB00064,ses-1,ses-2,P4-T4,2.802300024200126,5.50413699673957,0.5091261401851183
sub-NORB00064,ses-1,ses-2,P4-T5,1.8221769257905565,2.1229022706535816,0.8583423509314726
sub-NORB00064,ses-1,ses-2,P4-T6,4.09919435096577,4.407695506351481,0.9300085146668681
sub-NORB00064,ses-1,ses-2,P4-FZ,1.8555488718162754,4.515214161809154,0.4109547864885317
sub-NORB00064,ses-1,ses-2,P4-CZ,3.468213210805458,3.42148730358428,0.9865273833005421
sub-NORB00064,ses-1,ses-2,P4-PZ,5.866310681358659,7.021534838256389,0.8354741258843346
sub-NORB00064,ses-1,ses-2,O1-O2,3.0649855754006783,3.581826713726435,0.8557045944335903
sub-NORB00064,ses-1,ses-2,O1-F7,1.8119275588397785,1.3316873951010968,0.7349562009828963
sub-NORB00064,ses-1,ses-2,O1-F8,1.5149017147613222,1.106691491411277,0.7305368266651148
sub-NORB00064,ses-1,ses-2,O1-T3,1.2222774412759574,1.7381205477263861,0.7032178768468064
sub-NORB00064,ses-1,ses-2,O1-T4,1.0685768528342943,1.5330305989849715,0.6970355670276935
sub-NORB00064,ses-1,ses-2,O1-T5,3.217796257083788,4.674675102589935,0.6883465024769347
sub-NORB00064,ses-1,ses-2,O1-T6,3.928613455784887,2.17369922920212,0.5532993392366831
