subject_id,session_left,session_right,node,left_value,right_value,jaccard_min_over_max
sub-NORB00070,ses-2,ses-3,P4,0.32003108555517945,0.30024859753345895,0.9381857297162165
sub-NORB00070,ses-2,ses-3,O1,0.33734821085827604,0.283681517805849,0.8409160288240773
sub-NORB00070,ses-2,ses-3,O2,0.3146419124263312,0.29632286783372175,0.941778117062206
sub-NORB00070,ses-2,ses-3,F7,0.32044591913332987,0.2996772465215543,0.9351882131376614
sub-NORB00070,ses-2,ses-3,F8,0.3009860853904515,0.2880796853947624,0.9571196124267791
sub-NORB00070,ses-2,ses-3,T3,0.2903121336950377,0.2900410050371947,0.999066078794599
sub-NORB00070,ses-2,ses-3,T4,0.2866777367514772,0.28981453315668754,0.9891765386261204
sub-NORB00070,ses-2,ses-3,T5,0.31519866919064704,0.2780076930546042,0.8820078262654467
sub-NORB00070,ses-2,ses-3,T6,0.3122323780660515,0.286914191865769,0.918912361501066
sub-NORB00070,ses-2,ses-3,FZ,0.30963237173709623,0.28163192163336426,0.9095687251735206
sub-NORB00070,ses-2,ses-3,CZ,0.2669971118713706,0.2887977691713892,0.9245123763851484
sub-NORB00070,ses-2,ses-3,PZ,0.30677590899621965,0.32052455709470407,0.9571057886387714
sub-NORB00074,ses-1,ses-2,Fp1,0.42524463731617124,0.27343639477045456,0.6430096249918219
sub-NORB00074,ses-1,ses-2,Fp2,0.19366571582648306,0.2749000706630607,0.7044949656046291
sub-NORB00074,ses-1,ses-2,F3,0.2065765888791277,0.2911291281434951,0.7095703208966017
sub-NORB00074,ses-1,ses-2,F4,0.2810862840493187,0.2778479475013951,0.9884792082300415
sub-NORB00074,ses-1,ses-2,C3,0.23352721402812804,0.28566118640712634,0.8174971789667757
sub-NORB00074,ses-1,ses-2,C4,0.2864184954195481,0.27958423823014245,0.9761389110734808
sub-NORB00074,ses-1,ses-2,P3,0.26095244981233595,0.3066612694866627,0.8509468778015519
sub-NORB00074,ses-1,ses-2,P4,0.38391136979499757,0.2835510296204348,0.7385846107445228
sub-NORB00074,ses-1,ses-2,O1,0.3351228458845147,0.28938877288422976,0.8635304230615027
sub-NORB00074,ses-1,ses-2,O2,0.2863938574486127,0.2974383411839058,0.962867989071845
sub-NORB00074,ses-1,ses-2,F7,0.30817855206309286,0.3045244408488347,0.9881428762975365
sub-NORB00074,ses-1,ses-2,F8,0.21089417161636106,0.25178239905406474,0.8376049017273688
sub-NORB00074,ses-1,ses-2,T3,0.36347608069822573,0.3018197698277544,0.8303703760862845
sub-NORB00074,ses-1,ses-2,T4,0.2615646694115081,0.2814623235569846,0.9293061540385953
sub-NORB00074,ses-1,ses-2,T5,0.3751098448294075,0.29635248261134306,0.7900418682589316
sub-NORB00074,ses-1,ses-2,T6,0.18352603254374308,0.25659183140616054,0.7152450315272849
sub-NORB00074,ses-1,ses-2,FZ,0.185138774940198,0.3027181340284227,0.6115879893829388
sub-NORB00074,ses-1,ses-2,CZ,0.27641215430950417,0.28985548905344316,0.9536205617915335
sub-NORB00074,ses-1,ses-2,PZ,0.3217242793950961,0.2940823451973277,0.9140819143344089
sub-NORB00075,ses-1,ses-2,Fp1,0.33913212618559424,0.2981404214409843,0.8791276273183959
sub-NORB00075,ses-1,ses-2,Fp2,0.3414400616567598,0.2928806208955279,0.8577804826838178
sub-NORB00075,ses-1,ses-2,F3,0.34009176053026635,0.2807331904261932,0.8254630749903435
sub-NORB00075,ses-1,ses-2,F4,0.3331044549850997,0.2961152949914699,0.8889562735050048
sub-NORB00075,ses-1,ses-2,C3,0.29360553061928696,0.2813373167488947,0.9582153175230876
sub-NORB00075,ses-1,ses-2,C4,0.3345089708354939,0.28156901697813014,0.8417383135491491
sub-NORB00075,ses-1,ses-2,P3,0.31177442532403465,0.33066295644924215,0.942876785086427
sub-NORB00075,ses-1,ses-2,P4,0.3352120437560885,0.29373938935930416,0.8762793426749272
sub-NORB00075,ses-1,ses-2,O1,0.36265146287769284,0.30329705347393104,0.8363320833376052
sub-NORB00075,ses-1,ses-2,O2,0.3694961044175721,0.30463758132893626,0.8244676403534192
sub-NORB00075,ses-1,ses-2,F7,0.32324916783183416,0.2912990311363004,0.901159415475571
sub-NORB00075,ses-1,ses-2,F8,0.3615255968758746,0.27007975832158054,0.7470557013264794
sub-NORB00075,ses-1,ses-2,T3,0.3021954153093234,0.3007853458969572,0.9953339152716038
sub-NORB00075,ses-1,ses-2,T4,0.35020837306171215,0.32265208417818136,0.9213145915312683
sub-NORB00075,ses-1,ses-2,T5,0.34680110790722235,0.2851722211779032,0.82229328187208
