Source,Target,F-stat,p-value
O2,FZ,18.47730790983213,1.7206236911193267e-05
FZ,O2,17.951382047123403,2.2677328217505657e-05
CZ,T5,17.474577784730435,2.913626958661733e-05
O1,Fp2,16.468163042892215,7.060896431178527e-08
F4,O1,14.001829679122737,0.00018271012327078804
F7,O1,13.86022973258149,0.00019700359989428153
O1,F3,13.671128114728283,1.1569627240651705e-06
O1,F8,13.578856959756525,0.00022883888067019606
Fp1,P4,12.8168905476466,0.00034362730645499473
Fp1,PZ,12.735557366259876,0.0003588960168999386
O2,F8,8.233154554006079,0.004113850065112924
FZ,O1,7.80067797575272,0.00040964607677791183
F3,O2,5.433721389216544,0.019753043352478277
O2,F7,4.6781361452028225,0.009297866170989504
O2,F4,3.841215189537204,0.021469898209699804
F4,O2,3.2407602449788384,0.03913724613698118
